sno,year,gender,tid,mid,player1,country1,firstServe1,ace1,double1,firstPointWon1,secPointWon1,fastServe1,avgFirstServe1,avgSecServe1,break1,return1,total1,winner1,error1,net1,win
1,2013,m,4,668240,Rafael Nadal,ESP,72,3,5,82,55,194,175,149,71,45,94,28,21,81,1
2,2013,m,4,668239,David Ferrer,ESP,55,11,2,87,57,194,178,156,45,44,103,27,14,100,1
3,2013,m,4,668238,Tommy Robredo,ESP,54,9,3,71,52,209,183,141,56,45,138,39,30,64,1
4,2013,m,4,668235,Bernard Tomic,AUS,68,9,2,72,60,199,167,135,29,39,173,54,61,68,1
5,2013,m,4,668234,Bradley Klahn,USA,71,6,1,81,70,201,180,165,27,34,151,44,32,63,1
6,2013,m,4,668229,Mikhail Kukushkin,KAZ,51,4,5,63,50,0,0,0,82,50,117,4,5,0,1
7,2013,m,4,668228,Nikolay Davydenko,RUS,57,7,6,74,48,0,0,0,57,43,146,7,6,0,1
8,2013,m,4,668242,Dudi Sela,ISR,59,2,7,60,51,0,0,0,42,45,187,2,7,0,1
9,2013,m,4,668243,Roberto BautistaAgut,ESP,75,1,1,71,57,0,0,0,60,45,87,1,1,0,1
10,2013,m,4,668244,Ivan Dodig,CRO,57,10,5,67,51,213,185,157,67,39,145,27,27,54,1
11,2013,m,4,668223,Guillaume Rufin,FRA,55,10,9,80,40,0,0,0,33,38,149,10,9,0,1
12,2013,m,4,668208,Stephane Robert,FRA,61,3,2,88,59,0,0,0,31,41,99,3,2,0,1
13,2013,m,4,668210,Daniel Evans,GBR,48,8,4,76,51,207,185,138,67,48,102,27,32,67,1
14,2013,m,4,668207,Richard Gasquet,FRA,63,7,7,79,48,204,181,141,31,45,106,40,18,72,1
15,2013,m,4,668206,Dmitry Tursunov,RUS,55,16,3,81,52,0,0,0,67,41,121,16,3,0,1
16,2013,m,4,668205,Feliciano Lopez,ESP,58,21,3,82,63,0,0,0,31,41,148,21,3,0,1
17,2013,m,4,668261,Janko Tipsarevic,SRB,55,12,2,86,70,199,181,156,22,35,104,24,19,100,1
18,2013,m,4,668245,Andreas HaiderMaurer,AUT,49,10,12,73,52,0,0,0,29,37,160,10,12,0,1
19,2013,m,4,668359,Jeremy Chardy,FRA,56,8,7,69,56,0,0,0,55,41,170,8,7,0,1
20,2013,m,4,668358,Donald Young,USA,74,3,7,71,53,189,167,148,62,65,86,15,14,60,1
21,2013,m,4,668357,Novak Djokovic,SRB,68,10,1,72,61,205,178,154,50,60,91,28,9,65,1
22,2013,m,4,668356,Gael Monfils,FRA,84,5,1,80,50,178,162,146,69,63,81,22,11,67,1
